CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
DRA,GAL,NGC6643,UGC 11218         ,18 19.8,+74 34,11.1,3.7,1.8,NGC,,,,,
EQU,GAL,NGC7015,UGC 11674         ,21 05.6,+11 25,12.5,1.8,1.6,NGC,,,,,
ERI,GAL,NGC1187,ESO 480-23        ,03 02.6,-22 52,10.8,5.6,3.8,NGC,,,,,
ERI,GAL,NGC1232,EYE OF GOD GALAXY,03 09.8,-20 35,9.9,7.1,6.3,NGC,,,,,
ERI,GAL,NGC1300,ESO 547-31        ,03 19.7,-19 25,10.4,5.9,4.1,NGC,,,,,
ERI,GAL,NGC1332,ESO 548-18        ,03 26.3,-21 20,10.3,4.0,1.5,NGC,,,,,
ERI,GAL,NGC1331,IC 324           ,03 26.5,-21 21,13.4,0.9,0.9,NGC,,,,,
ERI,GAL,NGC1395,ESO 482-19        ,03 38.5,-23 02,9.6,5.6,4.6,NGC,,,,,
ERI,GAL,NGC1400,ESO 548-62        ,03 39.5,-18 41,11,2.5,2.1,NGC,,,,,
ERI,GAL,NGC1407,ESO 548-67        ,03 40.2,-18 35,9.7,4.9,4.5,NGC,,,,,
ERI,GAL,NGC1421,MCG - 2-10-  8    ,03 42.5,-13 29,11.4,3.4,0.8,NGC,,,,,
ERI,GAL,NGC1507,UGC 2947         ,04 04.5,-02 11,12.3,3.6,1.0,NGC,,,,,
ERI,GAL,NGC1531,ESO 359-26        ,04 12.0,-32 51,12.2,1.2,0.9,NGC,,,,,
ERI,GAL,NGC1532,ESO 359-27        ,04 12.1,-32 52,9.9,11.6,3.4,NGC,,,,,
ERI,PN,NGC1535,"CLEOPATRA'S EYE, THE ESKIMO'S WIFE",04 14.3,-12 44,10.4,0.33,0.28,NGC,,,,,
FOR,GAL,NGC1316,FORNAX A elliptical,03 22.7,-37 12,8.2,13.5,9.3,NGC,,,,,
FOR,PN,NGC1360,COMET PLANETARY,03 33.2,-25 52,9.4,6.0,4.5,NGC,,,,,
FOR,GAL,NGC1365,ESO 358-17        ,03 33.6,-36 08,9.6,11.0,6.2,NGC,,,,,
FOR,GAL,NGC1369,ESO 358-G034      ,03 36.8,-36 15,12.7,1.5,1.4,NGC,,,,,
FOR,GAL,NGC1399,ESO 358-45        ,03 38.5,-35 27,9.6,6.6,6.1,NGC,,,,,
FOR,GAL,NGC1398,,03 38.9,-26 20,9.5,7.6,5.3,NGC,,,,,
FOR,GAL,NGC1404,ESO 358-46        ,03 38.9,-35 36,10,3.9,3.3,NGC,,,,,
GEM,OC,NGC2129,OCL  467          ,06 01.1,+23 19,6.7,6.0,6.0,NGC,,,,,
