CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Types_OpenNGC,Best_500
Cyg,PN,NGC7026,CHEESEBURGER NEBULA,21 06.3,+47 51,12,0.42,0.15,NGC,7026,NGC 7026,,,7026,PN,True
Cyg,PN,NGC7027,PINK PILLOW NEBULA/MAGIC CARPET NEB/green rectangle,21 07.0,+42 14,9.6,0.3,0.18,NGC,7027,NGC 7027,,,7027,PN,True
Cyg,OC,NGC7044,OCL  198          ,21 13.1,+42 29,12,7.0,7.0,NGC,7044,NGC 7044,,,7044,OCl,True
Cyg,OC,NGC7063,OCL  192          ,21 24.5,+36 30,7,9.0,9.0,NGC,7063,NGC 7063,,,7063,OCl,True
Cyg,OC,NGC7086,OCL  214          ,21 30.5,+51 36,8.4,12.0,12.0,NGC,7086,NGC 7086,,,7086,OCl,True
Cyg,OC,NGC7092,M39,21 31.9,+48 26,4.6,31.0,31.0,M,39,M 39,,M 39,39,OCl,True
Del,PN,NGC6891,PK54-12.1        ,20 15.1,+12 42,10.5,0.26,0.12,NGC,6891,NGC 6891,,,6891,PN,True
Del,PN,NGC6905,BLUE FLASH NEBULA,20 22.4,+20 06,12,0.73,0.63,NGC,6905,NGC 6905,,,6905,PN,True
Del,GC,NGC6934,GCL 117           ,20 34.2,+07 24,8.9,7.1,7.1,NGC,6934,NGC 6934,,,6934,GCl,True
Del,GC,NGC7006,GCL 119           ,21 01.5,+16 11,10.6,3.6,3.6,NGC,7006,NGC 7006,,,7006,GCl,True
Dra,GAL,NGC5866,M102 FOOL'S GOLD GALAXY/THE SPINDLE,15 06.5,+55 46,9.9,5.2,2.3,M,102,M 102,,M 102,102,G,True
Dra,GAL,NGC5907,SPLINTER GAL./CAT SCRATCH GAL./KNIFE EDGE GAL.,15 15.9,+56 20,10.3,11.8,1.3,NGC,5907,NGC 5907,,,5907,G,True
Dra,GAL,NGC6015,UGC 10075         ,15 51.4,+62 18,11.1,5.4,2.1,NGC,6015,NGC 6015,,,6015,G,True
Dra,GAL,NGC6140,UGC 10359         ,16 21.0,+65 23,11.3,6.3,4.6,NGC,6140,NGC 6140,,,6140,G,True
Dra,GAL,NGC6503,LOST IN SPACE GALAXY,17 49.5,+70 09,10.2,7.0,2.5,NGC,6503,NGC 6503,,,6503,G,True
Dra,PN,NGC6543,CATSEYE NEBULA,17 58.6,+66 38,8.3,0.37,0.27,NGC,6543,NGC 6543,,,6543,PN,True
Dra,GAL,NGC6643,UGC 11218         ,18 19.8,+74 34,11.1,3.7,1.8,NGC,6643,NGC 6643,,,6643,G,True
